id,state_name,district_name,name,count,created_date
128,Karnataka,B.B.M.P(CENTRAL),aanand,232,2024-06-02 17:06:24
129,Karnataka,B.B.M.P(CENTRAL),Aasha,268,2024-06-02 17:06:24
130,Karnataka,B.B.M.P(CENTRAL),abdul jabbar,102,2024-06-02 17:06:24
131,Karnataka,B.B.M.P(CENTRAL),abdul khadar,117,2024-06-02 17:06:24
132,Karnataka,B.B.M.P(CENTRAL),ABDUL RAHIM,144,2024-06-02 17:06:24
133,Karnataka,B.B.M.P(CENTRAL),abdul rasheed,103,2024-06-02 17:06:24
134,Karnataka,B.B.M.P(CENTRAL),abdul rehaman,136,2024-06-02 17:06:24
135,Karnataka,B.B.M.P(CENTRAL),abdul salam,108,2024-06-02 17:06:24
136,Karnataka,B.B.M.P(CENTRAL),adil pasha,112,2024-06-02 17:06:24
137,Karnataka,B.B.M.P(CENTRAL),Adilakshmi,150,2024-06-02 17:06:24
138,Karnataka,B.B.M.P(CENTRAL),afroz pasha,148,2024-06-02 17:06:24
139,Karnataka,B.B.M.P(CENTRAL),Afsar Pasha,198,2024-06-02 17:06:24
140,Karnataka,B.B.M.P(CENTRAL),afzal pasha,144,2024-06-02 17:06:24
141,Karnataka,B.B.M.P(CENTRAL),akbar,107,2024-06-02 17:06:24
142,Karnataka,B.B.M.P(CENTRAL),akbar pasha,103,2024-06-02 17:06:24
143,Karnataka,B.B.M.P(CENTRAL),akram,117,2024-06-02 17:06:24
144,Karnataka,B.B.M.P(CENTRAL),akram pasha,308,2024-06-02 17:06:24
145,Karnataka,B.B.M.P(CENTRAL),Alamelu,237,2024-06-02 17:06:24
146,Karnataka,B.B.M.P(CENTRAL),alla bakash,168,2024-06-02 17:06:24
147,Karnataka,B.B.M.P(CENTRAL),Amaravathi,127,2024-06-02 17:06:24
148,Karnataka,B.B.M.P(CENTRAL),Ambika,417,2024-06-02 17:06:24
149,Karnataka,B.B.M.P(CENTRAL),ameer jan,135,2024-06-02 17:06:24
150,Karnataka,B.B.M.P(CENTRAL),Amjad Khan,170,2024-06-02 17:06:24
151,Karnataka,B.B.M.P(CENTRAL),amjad pasha,183,2024-06-02 17:06:24
152,Karnataka,B.B.M.P(CENTRAL),Ammu,396,2024-06-02 17:06:24
153,Karnataka,B.B.M.P(CENTRAL),Amreen Taj,221,2024-06-02 17:06:24
154,Karnataka,B.B.M.P(CENTRAL),Amuda,458,2024-06-02 17:06:24
155,Karnataka,B.B.M.P(CENTRAL),Amudha,215,2024-06-02 17:06:24
156,Karnataka,B.B.M.P(CENTRAL),Anand,644,2024-06-02 17:06:24
157,Karnataka,B.B.M.P(CENTRAL),ananda,143,2024-06-02 17:06:24
158,Karnataka,B.B.M.P(CENTRAL),anandi,108,2024-06-02 17:06:24
159,Karnataka,B.B.M.P(CENTRAL),anasuya,120,2024-06-02 17:06:24
160,Karnataka,B.B.M.P(CENTRAL),anbu,112,2024-06-02 17:06:24
161,Karnataka,B.B.M.P(CENTRAL),anil,104,2024-06-02 17:06:24
162,Karnataka,B.B.M.P(CENTRAL),Anil Kumar,333,2024-06-02 17:06:24
163,Karnataka,B.B.M.P(CENTRAL),Anitha,1188,2024-06-02 17:06:24
164,Karnataka,B.B.M.P(CENTRAL),ANITHA S,121,2024-06-02 17:06:24
165,Karnataka,B.B.M.P(CENTRAL),Anjali,560,2024-06-02 17:06:24
166,Karnataka,B.B.M.P(CENTRAL),Anjanamma,114,2024-06-02 17:06:24
167,Karnataka,B.B.M.P(CENTRAL),anjanappa,107,2024-06-02 17:06:24
168,Karnataka,B.B.M.P(CENTRAL),annamalai,133,2024-06-02 17:06:24
169,Karnataka,B.B.M.P(CENTRAL),annamma,211,2024-06-02 17:06:24
170,Karnataka,B.B.M.P(CENTRAL),Annapoorna,281,2024-06-02 17:06:24
171,Karnataka,B.B.M.P(CENTRAL),anniyamma,265,2024-06-02 17:06:24
172,Karnataka,B.B.M.P(CENTRAL),ansar pasha,199,2024-06-02 17:06:24
173,Karnataka,B.B.M.P(CENTRAL),anthony,172,2024-06-02 17:06:24
174,Karnataka,B.B.M.P(CENTRAL),anuradha,315,2024-06-02 17:06:24
175,Karnataka,B.B.M.P(CENTRAL),Anusuya,503,2024-06-02 17:06:24
176,Karnataka,B.B.M.P(CENTRAL),anusuyamma,138,2024-06-02 17:06:24
177,Karnataka,B.B.M.P(CENTRAL),Anwar Pasha,153,2024-06-02 17:06:24
178,Karnataka,B.B.M.P(CENTRAL),arathi,127,2024-06-02 17:06:24
179,Karnataka,B.B.M.P(CENTRAL),archana,172,2024-06-02 17:06:24
180,Karnataka,B.B.M.P(CENTRAL),arif pasha,169,2024-06-02 17:06:24
181,Karnataka,B.B.M.P(CENTRAL),Armugam,467,2024-06-02 17:06:24
182,Karnataka,B.B.M.P(CENTRAL),Arshiya Banu,119,2024-06-02 17:06:24
183,Karnataka,B.B.M.P(CENTRAL),Arun,245,2024-06-02 17:06:24
184,Karnataka,B.B.M.P(CENTRAL),Arun Kumar,400,2024-06-02 17:06:24
185,Karnataka,B.B.M.P(CENTRAL),Aruna,346,2024-06-02 17:06:24
186,Karnataka,B.B.M.P(CENTRAL),ASHA,648,2024-06-02 17:06:24
187,Karnataka,B.B.M.P(CENTRAL),Ashok,352,2024-06-02 17:06:24
188,Karnataka,B.B.M.P(CENTRAL),ASHOK KUMAR,375,2024-06-02 17:06:24
189,Karnataka,B.B.M.P(CENTRAL),ashoka,164,2024-06-02 17:06:24
190,Karnataka,B.B.M.P(CENTRAL),ashwathamma,128,2024-06-02 17:06:24
191,Karnataka,B.B.M.P(CENTRAL),Ashwini,372,2024-06-02 17:06:24
192,Karnataka,B.B.M.P(CENTRAL),asif pasha,187,2024-06-02 17:06:24
193,Karnataka,B.B.M.P(CENTRAL),aslam,149,2024-06-02 17:06:24
194,Karnataka,B.B.M.P(CENTRAL),aslam khan,106,2024-06-02 17:06:24
195,Karnataka,B.B.M.P(CENTRAL),aslam pasha,390,2024-06-02 17:06:24
196,Karnataka,B.B.M.P(CENTRAL),asma,365,2024-06-02 17:06:24
197,Karnataka,B.B.M.P(CENTRAL),Asma Banu,302,2024-06-02 17:06:24
198,Karnataka,B.B.M.P(CENTRAL),asma taj,130,2024-06-02 17:06:24
199,Karnataka,B.B.M.P(CENTRAL),Ayesha,315,2024-06-02 17:06:24
200,Karnataka,B.B.M.P(CENTRAL),Ayesha Banu,212,2024-06-02 17:06:24
201,Karnataka,B.B.M.P(CENTRAL),ayesha begum,111,2024-06-02 17:06:24
202,Karnataka,B.B.M.P(CENTRAL),ayisha,182,2024-06-02 17:06:24
203,Karnataka,B.B.M.P(CENTRAL),Ayub Khan,175,2024-06-02 17:06:24
204,Karnataka,B.B.M.P(CENTRAL),Babu,1334,2024-06-02 17:06:24
205,Karnataka,B.B.M.P(CENTRAL),Baby,230,2024-06-02 17:06:24
206,Karnataka,B.B.M.P(CENTRAL),Balaji,208,2024-06-02 17:06:24
207,Karnataka,B.B.M.P(CENTRAL),Balakrishna,279,2024-06-02 17:06:24
208,Karnataka,B.B.M.P(CENTRAL),Balu,120,2024-06-02 17:06:24
209,Karnataka,B.B.M.P(CENTRAL),banu,180,2024-06-02 17:06:24
210,Karnataka,B.B.M.P(CENTRAL),basamma,221,2024-06-02 17:06:24
211,Karnataka,B.B.M.P(CENTRAL),basavaraj,284,2024-06-02 17:06:24
212,Karnataka,B.B.M.P(CENTRAL),Basavaraju,731,2024-06-02 17:06:24
213,Karnataka,B.B.M.P(CENTRAL),basha,149,2024-06-02 17:06:24
214,Karnataka,B.B.M.P(CENTRAL),Bhagya,1075,2024-06-02 17:06:24
215,Karnataka,B.B.M.P(CENTRAL),bhagya lakshmi,111,2024-06-02 17:06:24
216,Karnataka,B.B.M.P(CENTRAL),Bhagyalakshmi,565,2024-06-02 17:06:24
217,Karnataka,B.B.M.P(CENTRAL),BHAGYAMMA,1018,2024-06-02 17:06:24
218,Karnataka,B.B.M.P(CENTRAL),Bhanumathi,156,2024-06-02 17:06:24
219,Karnataka,B.B.M.P(CENTRAL),bharath,162,2024-06-02 17:06:24
220,Karnataka,B.B.M.P(CENTRAL),bharath kumar,129,2024-06-02 17:06:24
221,Karnataka,B.B.M.P(CENTRAL),Bharathi,1022,2024-06-02 17:06:24
222,Karnataka,B.B.M.P(CENTRAL),Bhaskar,516,2024-06-02 17:06:24
223,Karnataka,B.B.M.P(CENTRAL),Bhavani,405,2024-06-02 17:06:24
224,Karnataka,B.B.M.P(CENTRAL),bhavya,180,2024-06-02 17:06:24
225,Karnataka,B.B.M.P(CENTRAL),Bhuvaneshwari,384,2024-06-02 17:06:24
226,Karnataka,B.B.M.P(CENTRAL),bibijan,113,2024-06-02 17:06:24
227,Karnataka,B.B.M.P(CENTRAL),chaithra,146,2024-06-02 17:06:24
228,Karnataka,B.B.M.P(CENTRAL),Chand Pasha,518,2024-06-02 17:06:24
229,Karnataka,B.B.M.P(CENTRAL),chandra,655,2024-06-02 17:06:24
230,Karnataka,B.B.M.P(CENTRAL),Chandrakala,746,2024-06-02 17:06:24
231,Karnataka,B.B.M.P(CENTRAL),chandramma,795,2024-06-02 17:06:24
232,Karnataka,B.B.M.P(CENTRAL),chandrappa,186,2024-06-02 17:06:24
233,Karnataka,B.B.M.P(CENTRAL),Chandrashekar,258,2024-06-02 17:06:24
234,Karnataka,B.B.M.P(CENTRAL),Chandrashekhar,871,2024-06-02 17:06:24
235,Karnataka,B.B.M.P(CENTRAL),chandrika,181,2024-06-02 17:06:24
236,Karnataka,B.B.M.P(CENTRAL),Chandru,177,2024-06-02 17:06:24
237,Karnataka,B.B.M.P(CENTRAL),Channamma,251,2024-06-02 17:06:24
238,Karnataka,B.B.M.P(CENTRAL),Chennamma,276,2024-06-02 17:06:24
239,Karnataka,B.B.M.P(CENTRAL),chethan,117,2024-06-02 17:06:24
240,Karnataka,B.B.M.P(CENTRAL),chikkamma,276,2024-06-02 17:06:24
241,Karnataka,B.B.M.P(CENTRAL),chikkanna,173,2024-06-02 17:06:24
242,Karnataka,B.B.M.P(CENTRAL),chikkathayamma,168,2024-06-02 17:06:24
243,Karnataka,B.B.M.P(CENTRAL),Chinnamma,277,2024-06-02 17:06:24
244,Karnataka,B.B.M.P(CENTRAL),chinnaswamy,115,2024-06-02 17:06:24
245,Karnataka,B.B.M.P(CENTRAL),chithra,300,2024-06-02 17:06:24
246,Karnataka,B.B.M.P(CENTRAL),chitra,204,2024-06-02 17:06:24
247,Karnataka,B.B.M.P(CENTRAL),Dakshayini,172,2024-06-02 17:06:24
248,Karnataka,B.B.M.P(CENTRAL),Deepa,616,2024-06-02 17:06:24
249,Karnataka,B.B.M.P(CENTRAL),deepak,184,2024-06-02 17:06:24
250,Karnataka,B.B.M.P(CENTRAL),devaki,156,2024-06-02 17:06:24
251,Karnataka,B.B.M.P(CENTRAL),devamma,304,2024-06-02 17:06:24
252,Karnataka,B.B.M.P(CENTRAL),devaraj,311,2024-06-02 17:06:24
253,Karnataka,B.B.M.P(CENTRAL),Devaraju,270,2024-06-02 17:06:24
254,Karnataka,B.B.M.P(CENTRAL),Devi,547,2024-06-02 17:06:24
255,Karnataka,B.B.M.P(CENTRAL),Devika,161,2024-06-02 17:06:24
256,Karnataka,B.B.M.P(CENTRAL),Dhanalakshmi,1368,2024-06-02 17:06:24
257,Karnataka,B.B.M.P(CENTRAL),dhananjaya,146,2024-06-02 17:06:24
258,Karnataka,B.B.M.P(CENTRAL),dilip kumar,149,2024-06-02 17:06:24
259,Karnataka,B.B.M.P(CENTRAL),dilshad,188,2024-06-02 17:06:24
260,Karnataka,B.B.M.P(CENTRAL),dilshad begum,126,2024-06-02 17:06:24
261,Karnataka,B.B.M.P(CENTRAL),dinesh,315,2024-06-02 17:06:24
262,Karnataka,B.B.M.P(CENTRAL),dinesh kumar,192,2024-06-02 17:06:24
263,Karnataka,B.B.M.P(CENTRAL),Divya,296,2024-06-02 17:06:24
264,Karnataka,B.B.M.P(CENTRAL),elizabeth,112,2024-06-02 17:06:24
265,Karnataka,B.B.M.P(CENTRAL),ellamma,111,2024-06-02 17:06:24
266,Karnataka,B.B.M.P(CENTRAL),elumalai,386,2024-06-02 17:06:24
267,Karnataka,B.B.M.P(CENTRAL),eramma,149,2024-06-02 17:06:24
268,Karnataka,B.B.M.P(CENTRAL),eshwar,110,2024-06-02 17:06:24
269,Karnataka,B.B.M.P(CENTRAL),Eshwari,244,2024-06-02 17:06:24
270,Karnataka,B.B.M.P(CENTRAL),fairoz,131,2024-06-02 17:06:24
271,Karnataka,B.B.M.P(CENTRAL),Fairoz Khan,162,2024-06-02 17:06:24
272,Karnataka,B.B.M.P(CENTRAL),fairoz pasha,161,2024-06-02 17:06:24
273,Karnataka,B.B.M.P(CENTRAL),farhana,144,2024-06-02 17:06:24
274,Karnataka,B.B.M.P(CENTRAL),farida,129,2024-06-02 17:06:24
275,Karnataka,B.B.M.P(CENTRAL),farzana,127,2024-06-02 17:06:24
